artists,b_dates,ages
Drake,"October 24, 1986",32
Ed Sheeran,"February 17, 1991",28
Juice WRLD,"December 2, 1998",20
Post Malone,"July 4, 1995",24
Ella Mai,"November 3, 1994",24
Dua Lipa,"August 22, 1995",23
XXXTENTACION,"January 23, 1998",21
Camila Cabello,"March 3, 1997",22
Ariana Grande,"June 26, 1993",26
Bazzi,"August 28, 1997",21
Imagine Dragons,nan,null
Taylor Swift,"December 13, 1989",29
Halsey,"September 29, 1994",24
NF,"March 30, 1991",28
Dan + Shay,nan,null
Portugal. The Man,nan,null
Lauv,"August 8, 1994",25
5 Seconds Of Summer,nan,null
Selena Gomez,"July 22, 1992",27
Travis Scott,"April 30, 1991",28
Lil Pump,"August 17, 2000",18
Shawn Mendes,"August 8, 1998",21
Migos,nan,null
Sam Smith,"May 19, 1992",27
Childish Gambino,"September 25, 1983",35
Kane Brown,"October 21, 1993",25
Cardi B,"October 11, 1992",26
6ix9ine,"May 8, 1996",23
Rich The Kid,"July 13, 1992",27
Maroon 5,nan,null
Demi Lovato,"August 20, 1992",26
Charlie Puth,"December 2, 1991",27
Khalid,"February 11, 1998",21
Jason Aldean,"February 28, 1977",42
Thomas Rhett,"March 30, 1990",29
The Weeknd,"February 16, 1990",29
Florida Georgia Line,nan,null
Kenny Chesney,"March 26, 1968",51
YoungBoy Never Broke Again,"October 20, 1999",19
Daddy Yankee,"February 3, 1977",42
Brett Young,"March 23, 1981",38
Luke Combs,"March 2, 1990",29
Bebe Rexha,"August 30, 1989",29
Young Thug,"August 16, 1991",28
21 Savage,"October 22, 1992",26
Ty Dolla $ign,"April 13, 1985",34
Bad Bunny,"March 10, 1994",25
J Balvin,"May 7, 1985",34
Zedd,"September 2, 1989",29
Maren Morris,"April 10, 1990",29
Grey,Null,null
Bruno Mars,"October 8, 1985",33
Normani,"May 31, 1996",23
BlocBoy JB,"May 19, 1996",23
Lil Baby,"December 3, 1994",24
Marshmello,"May 19, 1992",27
Anne-Marie,"April 7, 1991",28
Tyga,"November 19, 1989",29
Offset,"December 14, 1991",27
G-Eazy,"May 24, 1989",30
A$AP Rocky,"October 3, 1988",30
Nicki Minaj,"December 8, 1982",36
Murda Beatz,"February 11, 1994",25
Metro Boomin,"September 16, 1993",25
Kendrick Lamar,"June 17, 1987",32
SZA,"November 8, 1990",28
Zacari,"April 8, 1996",23
Lil Dicky,"March 15, 1988",31
Chris Brown,"May 5, 1989",30
YG,"March 9, 1990",29
2 Chainz,"September 12, 1977",41
Big Sean,"March 25, 1988",31
MAX,Null,null
gnash,"June 16, 1993",26
Calvin Harris,"January 17, 1984",35
Gucci Mane,"February 12, 1980",39
DJ Khaled,"November 26, 1975",43
Justin Bieber,"March 1, 1994",25
Chance The Rapper,"April 16, 1993",26
Quavo,"April 2, 1991",28
A$AP Ferg,"October 20, 1988",30
Miguel,"October 23, 1985",33
benny blanco,"March 8, 1988",31
Jay Rock,"March 31, 1986",33
Future,"November 20, 1983",35
James Blake,"December 28, 1979",39
Bastille,nan,null
Casper Magico,"June 21, 1989",30
Nio Garcia,"April 3, 1989",30
Darell,"January 5, 1990",29
Nicky Jam,"March 17, 1981",38
Ozuna,"March 13, 1992",27
N*E*R*D,Null,null
Rihanna,"February 20, 1988",31
Logic,"January 22, 1990",29
Alessia Cara,"July 11, 1996",23
Justin Timberlake,"January 31, 1981",38
Chris Stapleton,"April 15, 1978",41
Rae Sremmurd,nan,null
Juicy J,"April 5, 1975",44
Willy William,"April 14, 1981",38
Beyonce,"September 4, 1981",37
